"","Statistic","Year","Species","value"
"1","Weight of Inland Fish Catch (Tonnes)","1994","Inland",984
"2","Value of Inland Fish Catch (Euro Thousand)","1994","Inland",8848
"3","Weight of Inland Fish Catch (Tonnes)","1995","Inland",947
"4","Value of Inland Fish Catch (Euro Thousand)","1995","Inland",8423
"5","Weight of Inland Fish Catch (Tonnes)","1996","Inland",858
"6","Value of Inland Fish Catch (Euro Thousand)","1996","Inland",6514
"7","Weight of Inland Fish Catch (Tonnes)","1997","Inland",738
"8","Value of Inland Fish Catch (Euro Thousand)","1997","Inland",5409
"9","Weight of Inland Fish Catch (Tonnes)","1998","Inland",895
"10","Value of Inland Fish Catch (Euro Thousand)","1998","Inland",6228
"11","Weight of Inland Fish Catch (Tonnes)","1999","Inland",775
"12","Value of Inland Fish Catch (Euro Thousand)","1999","Inland",5134
"13","Weight of Inland Fish Catch (Tonnes)","2000","Inland",881
"14","Value of Inland Fish Catch (Euro Thousand)","2000","Inland",6064
"15","Weight of Inland Fish Catch (Tonnes)","2001","Inland",900
"16","Value of Inland Fish Catch (Euro Thousand)","2001","Inland",5984
"17","Weight of Inland Fish Catch (Tonnes)","2002","Inland",789
"18","Value of Inland Fish Catch (Euro Thousand)","2002","Inland",5461
"19","Weight of Inland Fish Catch (Tonnes)","2003","Inland",605
"20","Value of Inland Fish Catch (Euro Thousand)","2003","Inland",4547
"21","Weight of Inland Fish Catch (Tonnes)","2004","Inland",555
"22","Value of Inland Fish Catch (Euro Thousand)","2004","Inland",4968
"23","Weight of Inland Fish Catch (Tonnes)","1994","Salmon",816
"24","Value of Inland Fish Catch (Euro Thousand)","1994","Salmon",8111
"25","Weight of Inland Fish Catch (Tonnes)","1995","Salmon",790
"26","Value of Inland Fish Catch (Euro Thousand)","1995","Salmon",7593
"27","Weight of Inland Fish Catch (Tonnes)","1996","Salmon",688
"28","Value of Inland Fish Catch (Euro Thousand)","1996","Salmon",5639
"29","Weight of Inland Fish Catch (Tonnes)","1997","Salmon",570
"30","Value of Inland Fish Catch (Euro Thousand)","1997","Salmon",4549
"31","Weight of Inland Fish Catch (Tonnes)","1998","Salmon",624
"32","Value of Inland Fish Catch (Euro Thousand)","1998","Salmon",5003
"33","Weight of Inland Fish Catch (Tonnes)","1999","Salmon",515
"34","Value of Inland Fish Catch (Euro Thousand)","1999","Salmon",4111
"35","Weight of Inland Fish Catch (Tonnes)","2000","Salmon",621
"36","Value of Inland Fish Catch (Euro Thousand)","2000","Salmon",4944
"37","Weight of Inland Fish Catch (Tonnes)","2001","Salmon",792
"38","Value of Inland Fish Catch (Euro Thousand)","2001","Salmon",5410
"39","Weight of Inland Fish Catch (Tonnes)","2002","Salmon",673
"40","Value of Inland Fish Catch (Euro Thousand)","2002","Salmon",4893
"41","Weight of Inland Fish Catch (Tonnes)","2003","Salmon",501
"42","Value of Inland Fish Catch (Euro Thousand)","2003","Salmon",4005
"43","Weight of Inland Fish Catch (Tonnes)","2004","Salmon",431
"44","Value of Inland Fish Catch (Euro Thousand)","2004","Salmon",4308
"45","Weight of Inland Fish Catch (Tonnes)","1994","Other inland fish species",168
"46","Value of Inland Fish Catch (Euro Thousand)","1994","Other inland fish species",737
"47","Weight of Inland Fish Catch (Tonnes)","1995","Other inland fish species",157
"48","Value of Inland Fish Catch (Euro Thousand)","1995","Other inland fish species",830
"49","Weight of Inland Fish Catch (Tonnes)","1996","Other inland fish species",170
"50","Value of Inland Fish Catch (Euro Thousand)","1996","Other inland fish species",875
"51","Weight of Inland Fish Catch (Tonnes)","1997","Other inland fish species",168
"52","Value of Inland Fish Catch (Euro Thousand)","1997","Other inland fish species",860
"53","Weight of Inland Fish Catch (Tonnes)","1998","Other inland fish species",271
"54","Value of Inland Fish Catch (Euro Thousand)","1998","Other inland fish species",1226
"55","Weight of Inland Fish Catch (Tonnes)","1999","Other inland fish species",260
"56","Value of Inland Fish Catch (Euro Thousand)","1999","Other inland fish species",1023
"57","Weight of Inland Fish Catch (Tonnes)","2000","Other inland fish species",260
"58","Value of Inland Fish Catch (Euro Thousand)","2000","Other inland fish species",1120
"59","Weight of Inland Fish Catch (Tonnes)","2001","Other inland fish species",108
"60","Value of Inland Fish Catch (Euro Thousand)","2001","Other inland fish species",574
"61","Weight of Inland Fish Catch (Tonnes)","2002","Other inland fish species",116
"62","Value of Inland Fish Catch (Euro Thousand)","2002","Other inland fish species",568
"63","Weight of Inland Fish Catch (Tonnes)","2003","Other inland fish species",104
"64","Value of Inland Fish Catch (Euro Thousand)","2003","Other inland fish species",542
"65","Weight of Inland Fish Catch (Tonnes)","2004","Other inland fish species",124
"66","Value of Inland Fish Catch (Euro Thousand)","2004","Other inland fish species",660
